2024;AGRUPAMENTO_NATUREZA2;NATUREZA2;AREA;DEPARTAMENTO;SECCIONAL;DP;REGIAO;MUNICIPIO
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;003 DP - Praia Grande;Santos;Praia Grande
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Registro;DM - Juquiá;Santos;Juquiá
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Registro;DM - Miracatú;Santos;Miracatu
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;DM - Monte Mor;Piracicaba;Monte Mor
2;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Rio Claro;DM - Itirapina;Piracicaba;Itirapina
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;003 DP - Campos Elísios;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;008 DP - Brás;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;078 DP - Jardins;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;016 DP - Vila Clementino;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;036 DP - Vila Mariana;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;023 DP - Perdizes;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;051 DP - Butantã;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;087 DP - Vila Pereira Barreto;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;091 DP - Ceagesp;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;093 DP - Jaguaré;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;013 DP - Casa Verde;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;028 DP - Freguesia do Ó;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;040 DP - Vila Santa Maria;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;045 DP - Vila Brasilândia;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;018 DP - Alto da Moóca;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;057 DP - Parque da Moóca;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;058 DP - Vila Formosa;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;011 DP - Santo Amaro;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;098 DP - Jardim Míriam;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;022 DP - São Miguel Paulista;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;024 DP - Ponte Rasa;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;044 DP - Guaianazes;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;053 DP - Parque do Carmo;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;069 DP - Teotônio Vilela;CAPITAL;São Paulo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Jandira;Grande São Paulo (exclui a Capital);Jandira
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Santana do Parnaiba;Grande São Paulo (exclui a Capital);Santana de Parnaíba
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Diadema;001 DP - Diadema;Grande São Paulo (exclui a Capital);Diadema
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Diadema;004 DP - Diadema;Grande São Paulo (exclui a Capital);Diadema
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;DM - Caieiras;Grande São Paulo (exclui a Capital);Caieiras
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;DM - Cajamar;Grande São Paulo (exclui a Capital);Cajamar
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;Delegacia Aeroporto Int. SP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;001 DP - Ferraz de Vasconcelos;Grande São Paulo (exclui a Capital);Ferraz de Vasconcelos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;DM - Ferraz de Vasconcelos;Grande São Paulo (exclui a Capital);Ferraz de Vasconcelos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;DM - Guararema;Grande São Paulo (exclui a Capital);Guararema
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;003 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Santo André;002 DP - Santo André;Grande São Paulo (exclui a Capital);Santo André
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;003 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;004 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;007 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;002 DP - Taboão da Serra;Grande São Paulo (exclui a Capital);Taboão da Serra
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;DM - São Lourenço da Serra;Grande São Paulo (exclui a Capital);São Lourenço da Serra
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Jacareí;003 DP - Jacareí;São José dos Campos;Jacareí
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC São José Campos;006 DP - São Jose dos Campos;São José dos Campos;São José dos Campos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC São José Campos;DM - Caçapava;São José dos Campos;Caçapava
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;DM - Paulínea;Campinas;Paulínia
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;DM - Vinhedo;Campinas;Vinhedo
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Bragança Paulista;001 DP - Bragança Pta.;Campinas;Bragança Paulista
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;001 DP - Itatiba;Campinas;Itatiba
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;002 DP - Jundiai;Campinas;Jundiaí
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;006 DP - Jundiai;Campinas;Jundiaí
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;DM - Itupeva;Campinas;Itupeva
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;DM - Jarinú;Campinas;Jarinu
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Mogi-Guaçu;DM - Jaguariúna;Campinas;Jaguariúna
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Araraquara;004 DP - Araraquara;Ribeirão Preto;Araraquara
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Barretos;003 DP - Barretos;Ribeirão Preto;Barretos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Franca;DM - Igarapava;Ribeirão Preto;Igarapava
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Ribeirão Preto;002 DP - Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC São Joaquim da Barra;001 DP - São Joaquim da Barra;Ribeirão Preto;São Joaquim da Barra
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 4;SEC Bauru;DM - Agudos;Bauru;Agudos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Itanhaém;001 DP - Mongaguá;Santos;Mongaguá
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Itanhaém;001 DP - Peruíbe;Santos;Peruíbe
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Jacupiranga;001 DP - Jacupiranga;Santos;Jacupiranga
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Jacupiranga;DM - Cajati;Santos;Cajati
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;002 DP - Cubatão;Santos;Cubatão
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;002 DP - Guarujá;Santos;Guarujá
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;005 DP - Santos;Santos;Santos
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Botucatu;DM - Itatinga;Sorocaba;Itatinga
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Itapetininga;DM - Angatuba;Sorocaba;Angatuba
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;004 DP - Itú;Sorocaba;Itu
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 8;SEC Assis;DM - Cândido Mota;Presidente Prudente;Cândido Mota
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 8;SEC Presidente Prudente;003 DP - Presidente Prudente;Presidente Prudente;Presidente Prudente
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;001 DP - Americana;Piracicaba;Americana
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;001 DP - Hortolândia;Piracicaba;Hortolândia
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Casa Branca;DM - Casa Branca;Piracicaba;Casa Branca
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;002 DP - Araras;Piracicaba;Araras
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;003 DP - Limeira;Piracicaba;Limeira
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Limeira;DM - Iracemápolis;Piracicaba;Iracemápolis
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Piracicaba;006 DP - Piracicaba;Piracicaba;Piracicaba
1;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC São João Boa Vista;DM - Sto. Antonio do Jardim;Piracicaba;Santo Antonio do Jardim
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;001 DP - Sé;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;1ª SEC;005 DP - Aclimação;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;017 DP - Ipiranga;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;035 DP - Jabaquara;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;2ª SEC;096 DP - Monções;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;3ª SEC;014 DP - Pinheiros;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;4ª SEC;020 DP - Água Fria;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;010 DP - Penha de França;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;031 DP - Vila Carrão;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;042 DP - Parque São Lucas;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;052 DP - Parque São Jorge;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;056 DP - Vila Alpina;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;5ª SEC;081 DP - Belém;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;043 DP - Cidade Ademar;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;6ª SEC;080 DP - Vila Joaniza;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;050 DP - Itaim Paulista;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;059 DP - Jardim Noemia;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;065 DP - Artur Alvim;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;067 DP - Jardim Robru;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;7ª SEC;068 DP - Lajeado;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Capital;DECAP;8ª SEC;041 DP - Vila Rica;CAPITAL;São Paulo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;002 DP - Cotia;Grande São Paulo (exclui a Capital);Cotia
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Carapicuíba;DM - Barueri;Grande São Paulo (exclui a Capital);Barueri
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Diadema;002 DP - Diadema;Grande São Paulo (exclui a Capital);Diadema
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Diadema;003 DP - Diadema;Grande São Paulo (exclui a Capital);Diadema
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Franco da Rocha;DM - Francisco Morato;Grande São Paulo (exclui a Capital);Francisco Morato
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;001 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;002 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;003 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;006 DP - Guarulhos;Grande São Paulo (exclui a Capital);Guarulhos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Guarulhos;DM - Santa Isabel;Grande São Paulo (exclui a Capital);Santa Isabel
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;001 DP - Itaquaquecetuba;Grande São Paulo (exclui a Capital);Itaquaquecetuba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;002 DP - Suzano;Grande São Paulo (exclui a Capital);Suzano
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;003 DP - Mogi das Cruzes;Grande São Paulo (exclui a Capital);Mogi das Cruzes
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Mogi das Cruzes;DM - Suzano;Grande São Paulo (exclui a Capital);Suzano
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;001 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;009 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Osasco;010 DP - Osasco;Grande São Paulo (exclui a Capital);Osasco
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Santo André;004 DP - Mauá;Grande São Paulo (exclui a Capital);Mauá
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Santo André;DM - Ribeirão Pires;Grande São Paulo (exclui a Capital);Ribeirão Pires
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;001 DP - S. Caetano do Sul;Grande São Paulo (exclui a Capital);São Caetano do Sul
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;001 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;002 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC São Bernardo Campo;008 DP - São Bernardo do Campo;Grande São Paulo (exclui a Capital);São Bernardo do Campo
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;001 DP - Taboão da Serra;Grande São Paulo (exclui a Capital);Taboão da Serra
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Grande São Paulo (exclui Capital);DEMACRO;SEC Taboão da Serra;DM - Embú Guaçú;Grande São Paulo (exclui a Capital);Embu-Guaçu
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Jacareí;004 DP - Jacareí;São José dos Campos;Jacareí
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Jacareí;DM - Igaratá;São José dos Campos;Igaratá
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Taubaté;001 DP - Pindamonhangaba;São José dos Campos;Pindamonhangaba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Taubaté;003 DP - Pindamonhangaba;São José dos Campos;Pindamonhangaba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 1;SEC Taubaté;003 DP - Taubaté;São José dos Campos;Taubaté
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;001 DP - Valinhos;Campinas;Valinhos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;1ª Seccional Campinas;007 DP - Campinas;Campinas;Campinas
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;2ª Seccional Campinas;008 DP - Campinas;Campinas;Campinas
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;2ª Seccional Campinas;011 DP - Campinas;Campinas;Campinas
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Bragança Paulista;002 DP - Atibaia;Campinas;Atibaia
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Bragança Paulista;003 DP - Atibaia;Campinas;Atibaia
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Bragança Paulista;DM - Lindóia;Campinas;Lindóia
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Jundiaí;003 DP - Jundiai;Campinas;Jundiaí
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 2;SEC Mogi-Guaçu;002 DP - Mogi Mirim;Campinas;Mogi Mirim
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Araraquara;DM - Santa Lúcia;Ribeirão Preto;Santa Lucia
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Franca;004 DP - Franca;Ribeirão Preto;Franca
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Franca;005 DP - Franca;Ribeirão Preto;Franca
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Franca;DM - Guará;Ribeirão Preto;Guará
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Ribeirão Preto;005 DP - Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Ribeirão Preto;DM - Cajuru;Ribeirão Preto;Cajuru
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Ribeirão Preto;DM - Luiz Antonio;Ribeirão Preto;Luís Antônio
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC São Carlos;DM - Porto Ferreira;Ribeirão Preto;Porto Ferreira
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC São Joaquim da Barra;DM - Orlândia;Ribeirão Preto;Orlândia
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 3;SEC Sertãozinho;DM - Sertãozinho;Ribeirão Preto;Sertãozinho
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 4;SEC Ourinhos;DM - Canitar;Bauru;Canitar
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Jacupiranga;002 DP - Jacupiranga;Santos;Jacupiranga
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Jacupiranga;DM - Pariquera-Açú;Santos;Pariquera-Açu
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Praia Grande;002 DP - São Vicente;Santos;São Vicente
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;001 DP - Guarujá;Santos;Guarujá
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;003 DP - Santos;Santos;Santos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;004 DP - Santos;Santos;Santos
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;DM - Bertioga;Santos;Bertioga
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 6;SEC Santos;DM - Guarujá;Santos;Guarujá
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Itapetininga;DM - Boituva;Sorocaba;Boituva
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;008 DP - Sorocaba;Sorocaba;Sorocaba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;009 DP - Sorocaba;Sorocaba;Sorocaba
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - Araçoiba da Serra;Sorocaba;Araçoiaba da Serra
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - Ibiúna;Sorocaba;Ibiúna
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 7;SEC Sorocaba;DM - São Roque;Sorocaba;São Roque
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;004 DP - Americana;Piracicaba;Americana
;ROUBO - OUTROS TOTAL;ROUBO DE CARGA;Interior;DEINTER 9;SEC Americana;005 DP - Sumaré;Piracicaba;Sumaré
